word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
thank||NN|0.0|0.0|0.0|0.0|0.0
you||PRP|0.0|0.0|0.0|0.0|0.0
so||RB|0.0|0.0|0.0|5.3255|5.3255
much||JJ|0.0|-2.0122|2.4837|2.6778|2.6778
chris|,|NN|0.0|-3.6721|3.1569|3.2845|3.2845
and|.|CC|0.0|6.2371|0.8977|4.099|4.099
it's||VB|0.0|5.8395|2.3367|3.6738|3.6738
truly||RB|0.0|5.0625|0.0854|7.4429|7.4429
a||DT|0.0|5.1189|0.0224|6.8102|6.8102
great||JJ|1.39|-4.7463|2.7492|2.8292|2.8292
honor||NN|0.0|-4.4157|4.2162|5.8858|5.8858
to||TO|0.0|-6.7316|0.8368|2.2753|2.2753
have||VB|0.0|-4.5577|3.3398|2.4711|2.4711
the||DT|0.0|-7.3705|2.0202|3.7347|3.7347
opportunity||NN|0.0|-5.4076|4.9041|0.3039|0.3039
to||TO|0.0|-8.5776|0.5174|-0.2789|-0.2789
come||VB|0.0|-5.1785|5.7009|-2.795|-2.795
to||TO|0.0|-5.8605|1.3997|1.6158|1.6158
this||DT|0.0|-7.2279|1.0763|0.2694|0.2694
stage||NN|0.0|-6.4302|2.3988|-4.2356|-4.2356
twice||RB|0.0|-5.6001|3.998|-4.0377|-4.0377
i'm|.|NN|0.0|-8.9858|2.3142|1.2543|1.2543
extremely||RB|0.34|-13.3566|11.2819|-1.2683|-1.2683
grateful||JJ|0.0|-18.8675|2.3521|-0.8531|-0.8531
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
