word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
i|.|NN|3.07|12.2579|8.0186|9.1821|9.1821
know||VBP|0.0|15.4593|1.9471|8.4524|8.4524
it||PRP|0.0|13.4594|3.7927|4.4235|4.4235
sounds||VBZ|0.0|11.9827|4.0474|4.5961|4.5961
like||IN|0.0|7.4487|3.3327|6.0138|6.0138
a||DT|0.0|6.5789|1.5196|8.4922|8.4922
little||JJ|0.0|7.4042|3.7057|6.0539|6.0539
thing||NN|0.0|5.7222|4.4955|2.0836|2.0836
to||TO|0.0|-0.2334|1.8563|3.5159|3.5159
you||PRP|0.0|-0.3479|8.843|7.2028|7.2028
but|,|CC|0.0|-4.7426|2.267|4.6678|4.6678
i||VB|6.02|13.8232|1.8927|9.7294|9.7294
looked||VBD|1.79|7.5229|3.8812|2.2817|2.2817
in||IN|0.0|4.8757|2.6384|7.5444|7.5444
the||DT|0.0|0.4486|4.6865|8.5141|8.5141
rearview||NN|0.0|0.0|0.0|0.0|0.0
mirror||NN|0.0|2.407|3.5904|7.093|7.093
and||CC|0.0|7.5493|1.5296|4.7124|4.7124
all||DT|1.65|2.4858|5.9402|3.8459|3.8459
of||IN|0.0|1.5222|3.8283|3.8913|3.8913
a||DT|0.0|-1.0539|1.5343|2.614|2.614
sudden||JJ|0.0|-0.863|3.3193|2.0487|2.0487
it||PRP|0.0|-3.5085|3.9208|1.7141|1.7141
just||RB|0.0|-3.8756|3.3026|-2.8505|-2.8505
hit||VB|0.0|-6.1135|4.6431|-0.0604|-0.0604
me||PRP|0.0|-9.8176|4.0538|2.9814|2.9814
there|.|EX|0.0|-1.5755|2.3817|1.8073|1.8073
was||VBD|0.0|-2.2905|3.2249|1.513|1.513
no||DT|0.0|0.1525|4.0746|6.1037|6.1037
motorcade||NN|0.0|-6.4638|10.0627|0.5623|0.5623
back||RB|0.0|-8.314|5.4939|-4.5045|-4.5045
there||RB|0.0|-4.8691|1.597|0.0199|0.0199
you've|.|RB|2.9|12.8977|2.9614|5.1167|5.1167
heard||NN|0.0|14.7001|6.2997|6.6572|6.6572
of||IN|0.0|9.4438|7.6494|-0.6839|-0.6839
phantom||NN|0.0|1.3225|9.077|3.2134|3.2134
limb||NN|0.0|-0.1493|5.9674|6.9852|6.9852
pain||NN|0.0|2.1471|3.7377|3.278|3.278
this|?|DT|7.4|0.8278|2.467|0.6253|0.6253
was||VBD|0.0|1.2282|6.5815|4.6238|4.6238
a||DT|0.0|0.9473|5.0922|8.3644|8.3644
rented||JJ|0.0|0.7458|10.0299|2.7972|2.7972
ford||NN|0.0|-10.1468|10.0634|0.7934|0.7934
taurus||NN|0.0|-13.569|3.6134|0.2828|0.2828
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
